window_id,start_time,end_time,center_lat,center_lon,start_lat,start_lon,end_lat,end_lon,avg_speed,speed_std,min_speed,max_speed,distance,avg_slope,slope_std,max_slope,min_slope,avg_cross_slope,cross_slope_std,max_cross_slope,min_cross_slope,dominant_landcover,sample_count
0,2021-11-29 11:41:21.753832031,2021-11-29 11:41:51.753832031,56.89559379,-4.520441348333333,56.8956542,-4.5203771,56.8954086,-4.5205479,1.038806877744564,0.7390467629612276,0.0316227758948595,2.1148285035569185,35.2357620409133,1.5361705535042163,0.412377652166652,2.0682095504781866,0.5502264158470638,1.4763115396271203,0.3220259078666929,2.0607484477744715,1.172277412450734,40.0,120
1,2021-11-29 11:41:51.753832031,2021-11-29 11:42:21.753832031,56.89519967024794,-4.520884147933884,56.8954052,-4.520548499999999,56.895053,-4.5214758,2.4709426396886522,0.7147867423152036,1.303840500240694,3.636839232241839,75.12492128676504,1.0054953986781918,0.4835952654747852,1.9810710281059187,0.01437490437042719,1.8754615781862922,0.2617735919039317,2.285009890363578,1.297264009605514,40.0,121
2,2021-11-29 11:42:21.753832031,2021-11-29 11:42:51.753832031,56.89504048166666,-4.522208349166667,56.8950542,-4.5214875,56.8950376,-4.5229025,2.9551268273308335,0.1569963432320604,2.50297805080476,3.281615275223904,88.08720732531341,0.6649286464006877,0.14158441841229766,0.8860077868260403,0.40795398296906155,1.437485572609042,0.26584784395958716,1.8572756871411034,0.9009124161077542,40.0,120
3,2021-11-29 11:42:51.753832031,2021-11-29 11:43:21.753832031,56.89519916416667,-4.523548519999999,56.8950387,-4.522912799999999,56.8954641,-4.5241199,3.066651472975882,0.2849399241736527,2.453263095734849,3.5223002671578105,91.69065238987304,0.15370793885124884,0.3563944215376512,1.0201328179761422,0.0,0.12701082179179515,0.2948957395498636,0.9114455509414364,0.0,40.0,120
4,2021-11-29 11:43:21.753832031,2021-11-29 11:43:51.753832031,56.895854426666666,-4.524444865,56.8954685,-4.524127,56.8962482,-4.5245473,3.279644082675937,0.28721186376206076,2.8400703358304025,3.9349839395585566,94.11882571873966,0.13709631694027105,0.21505689077364526,0.5239940120322224,0.0,0.2709081473020535,0.4240205208490008,0.9458114802131128,0.0,40.0,120
5,2021-11-29 11:43:51.753832031,2021-11-29 11:44:21.753832031,56.89666562166666,-4.5245589766666665,56.896255,-4.5245471,56.897072,-4.524593299999999,3.1763901660854543,0.11777010188261464,2.823472972007396,3.3999998569488525,91.78968766359452,0.073217471094178,0.11246120077826917,0.45921575152595245,0.0,0.37061973747328747,0.489383635069423,1.0247533696557904,0.0,40.0,120
6,2021-11-29 11:44:21.753832031,2021-11-29 11:44:51.753832031,56.89747475250001,-4.524858212500001,56.8970791,-4.5245951,56.8977941,-4.5252834,3.062777383242414,0.23692381648376126,2.40968874033284,3.862913299768656,94.31979801538697,1.8891808723249257,1.610599293448011,4.329157925069732,0.0,0.71585562783259,1.0732306058768917,3.0146451027921675,0.0,40.0,120
7,2021-11-29 11:44:51.753832031,2021-11-29 11:45:21.753832031,56.89794924,-4.525975465833333,56.8977968,-4.5252928,56.8979376,-4.5267684,3.2890863933232124,0.45026905529458794,1.9011837607663344,3.849805112525879,99.56214211292162,3.4880980127714785,1.643014346335315,5.700689117909671,0.026088504161628615,5.3873650938650615,2.1887784260416354,8.86679816823789,2.805661339247654,40.0,120
8,2021-11-29 11:45:21.753832031,2021-11-29 11:45:51.753832031,56.897619855833334,-4.527380205,56.8979331,-4.5267806,56.8973039,-4.52792,3.3540669841915274,0.199707742988092,2.9135887707550974,3.969647260076211,99.79898135797099,3.5303384739661228,1.2870585574671853,5.50619188720241,0.5443101789689165,5.046603790003285,2.175097458672675,8.85011394250871,1.6333507021476423,40.0,120
9,2021-11-29 11:45:51.753832031,2021-11-29 11:46:21.753832031,56.896962089166664,-4.528396245833333,56.8972982,-4.5279294,56.8968164,-4.5290221,3.2359208331843132,0.2642890718622925,2.04083314275163,3.5976937301423013,100.7856960590438,1.22092301333618,0.4990089330038391,2.0275356035393846,0.03455445157933504,2.0770452982468264,0.43644364285708936,3.5504664444914713,1.366049030570628,40.0,120
